名前,淡いライバーカラー,濃いライバーカラー,超濃いライバーカラー,淡いサブカラー,濃いサブカラー,ライバー文字色,サブ文字色,VtL,卒業,読み,完全読み
月ノ美兎,#E43F3B,#E43F3B,#3f4681,#ff82aa,#ff82aa,#FFFFFF,#FFFFFF,「行きましょう！」,FALSE,月ノ美兎 美兎 つきのみと みと tsukino mito 委員長 いいんちょう,
勇気ちひろ,#7BB3EE,#7BB3EE,#2a8bed,#5561d1,#5561d1,#FFFFFF,#FFFFFF,「行こう！」,TRUE,勇気ちひろ ゆうきちひろ ちひろ chihiro yuki yuuki ちー tihiro,
える,#E2364F,#E2364F,#744474,#e9d5d4,#aa9b9b,#FFFFFF,#FFFFFF,「行こう！」,FALSE,える elu eru えるえる どこどこやったぜ ドコドコヤッタゼ エルフ スノー・ホワイト・パラダイス・エルサント・フロウ・ワスレナ・ピュア・プリンセス・リーブル・ラブ・ハイデルン・ドコドコ・ヤッタゼ・ヴァルキュリア・パッション・アールヴ・ノエル・チャコボシ・エルアリア・フロージア・メイドイン・ブルーム・エル すのーほわいとぱらだいすえるさんとふろうわすれなぴゅあぷりんせすりーぶるらぶはいでるんどこどこやったぜゔぁるきゅりあぱっしょんあーるゔのえるちゃこぼしえるありあふろーじあめいどいんぶるーむえる,
渋谷ハジメ,#D7FAD7,#7fad81,#899433,#9fa9f7,#75a3ee,#374c38,#FFFFFF,「行こう！」,FALSE,渋谷ハジメ ハジメ しぶやはじめ はじめ hajime hazime shibuya sibuya はじき めにき ハジキ メニキ,
樋口楓,#FBAF71,#FBAF71,#E74d3d,#a664d6,#530689,#FFFFFF,#FFFFFF,「行こう！」,FALSE,樋口楓 楓 ひぐちかえで かえで higuchi higuti でろーん,
静凛,#745399,#745399,#5b5b84,#ae6dbc,#ae6dbc,#FFFFFF,#FFFFFF,「行こう！」,FALSE,静凛 凛 しずかりん りん shizuka rin しずりん sizuka,
鈴谷アキ,#F2F9C3,#ebc8a9,#a88f6d,#a8285b,#a8285b,#90a300,#FFFFFF,「行こう！」,TRUE,鈴谷アキ すずや あき アキ suzuya aki,
モイラ,#91ABD0,#91ABD0,#5e6f87,#B9f9ff,#7dcee8,#FFFFFF,#FFFFFF,「行こう！」,FALSE,モイラ もいら moira 女神 めがみ,
鈴鹿詩子,#FA4F62,#FA4F62,#FF93ae,#975d63,#975d63,#FFFFFF,#FFFFFF,「行こう！」,TRUE,鈴鹿 詩子 すずか うたこ suzuka utako お姉さん おねえさん,
宇志海いちご,#FFCACE,#fca3b7,#fe7b97,#c28fc1,#c28fc1,#d66a88,#FFFFFF,「行こう！」,FALSE,宇志海いちご いちご うしみ ushimi ichigo うみうし,
家長むぎ,#FF899D,#FF899D,#fd9ad1,#fbd499,#eeb88f,#FFFFFF,#FFFFFF,「行こう！」,FALSE,家長むぎ いえなが むぎ ienaga mugi,
夕陽リリ,#BFFFFF,#83ccd2,#30e5e5,#fbc6ed,#3d5da9,#3d5da9,#FFFFFF,「行こう！」,FALSE,夕陽リリ リリ ゆうひ りり yuuhi yuhi riri 未来人,
物述有栖,#81D4E2,#81D4E2,#89bfff,#fdf3d2,#89bfff,#FFFFFF,#363442,「行こう！」,FALSE,物述有栖 有栖 もののべ ありす mononobe alice ぽにょにょべ,
文野環,#EBDDB4,#c4971b,#75665f,#21a6b0,#21a6b0,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
伏見ガク,#FFCB5B,#FFCB5B,#d99a33,#a791aa,#dc7748,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
ギルザレンⅢ世,#002FA7,#002FA7,#363b38,#b0b2d7,#9d2220,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
剣持刀也,#A590AF,#8f70ae,#6051a1,#839c36,#839c36,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
森中花咲,#C8F39A,#bdd463,#8da74a,#f9d1e6,#ff99cb,#618400,#FFFFFF,「行こう！」,FALSE,,
叶,#ABD3D8,#ABD3D8,#55919e,#c7b6a6,#666a74,#FFFFFF,#FFFFFF,「行こう！」,FALSE,叶 kanae かなえ かなかな カナエ,
赤羽葉子,#CA636C,#CA636C,#8a465c,#e25e61,#570b0d,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
笹木咲,#EF9AAF,#EF9AAF,#193157,#dcb8f2,#6e509e,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
本間ひまわり,#FBE340,#FF9D45,#FF8114,#bde83e,#a6db00,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
魔界ノりりむ,#EF6F94,#D44968,#393138,#7dcef4,#d00000,#FFFFFF,#FFFFFF,「行こう！」,FALSE,魔界ノりりむ りりむ まかいの makaino ririmu いいむ リリム・キスミー・ラブリーハート＝ロリータニア りりむきすみーらぶりーはーとろりーたにあ,
葛葉,#ACA7BB,#ACA7BB,#7A0002,#ACA7BB,#d00000,#FFFFFF,#FFFFFF,「行こう！」,FALSE,葛葉 くずは kuzuha ずは KZH,
椎名唯華,#F1C8DE,#ff82c4,#64394e,#d6a3d7,#ff59ae,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
ドーラ,#A83E4A,#A83E4A,#f75929,#ff9927,#7A0002,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
轟京子,#E66186,#E66186,#bc0939,#a89ca0,#F8A69A,#FFFFFF,#FFFFFF,「行こう！」,FALSE,轟京子 轟 京子 とどろき きょうこ todoroki kyoko kyouko ロキ ろき,
シスター・クレア,#DFC6A8,#DFC6A8,#cc9d68,#c2b0e3,#c2b0e4,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
花畑チャイカ,#40CF84,#40CF84,#00a43d,#fff100,#151515,#FFFFFF,#FFFFFF,「行こう！」,FALSE,花畑チャイカ チャイカ はなばたけ ちゃいか hanabatake chaika ブライン チャイカ・ブライン チャイちゃん 第一第二第三皇女,
社築,#B6C6F2,#7495f2,#003985,#7b91ce,#003985,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
安土桃,#F295CE,#F295CE,#e54057,#58b341,#4a4d8a,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
鈴木勝,#7B788A,#5f5f5f,#9f86ca,#666AA9,#666AA9,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
緑仙,#5DCCAB,#5DCCAB,#0f5f52,#992726,#27a2ad,#FFFFFF,#FFFFFF,「行こう！」,FALSE,緑仙 りゅーしぇん 仙河緑 ryushen しぇん みどり せんが,
卯月コウ,#F9E97A,#e2c400,#b3a797,#00a0c1,#00a0c1,#594e46,#FFFFFF,「いっぞ！」,FALSE,,
神田笑一,#F4D35B,#F4D35B,#F4D35B,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
飛鳥ひな,#FAD8DC,#FAD8DC,#FAD8DC,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
春崎エアル,#4B5F9E,#4B5F9E,#4B5F9E,,#32adc6,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
雨森小夜,#756F7D,#756F7D,#756F7D,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
鷹宮リオン,#CC3D7B,#CC3D7B,#CC3D7B,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
舞元啓介,#094078,#094078,#094078,,#AFC9A4,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
竜胆尊,#745BFF,#745BFF,#745BFF,#CCCEF6,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,竜胆尊 尊 りんどう みこと rindou mikoto わらわ,
でびでび・でびる,#444C7D,#444C7D,#444C7D,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,でびでび・でびる でびでびでびる debidebi debiru おそろしいあくま でび様 でびちゃん,
桜凛月,#C57FC7,#C57FC7,#C57FC7,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
町田ちま,#80C8EF,#80C8EF,#80C8EF,#EDDDBB,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
ジョー・力一,#D598DD,#D598DD,#D598DD,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
成瀬鳴,#E06489,#E06489,#E06489,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
ベルモンド・バンデラス,#683D46,#683D46,#683D46,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
矢車りね,#FEECD8,#FEECD8,#FEECD8,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
夢追翔,#AC324B,#AC324B,#AC324B,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
黒井しば,#585C82,#585C82,#585C82,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,黒井しば くろい しば しばちゃん kuroi shiba siba 犬,
童田明治,#E34E4F,#E34E4F,#E34E4F,#F3A016,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
郡道美玲,#A20063,#A20063,#A20063,#836000,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
夢月ロア,#D8368D,#D8368D,#D8368D,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
小野町春香,#FF336E,#FF336E,#FF336E,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
語部紡,#07A4E3,#07A4E3,#07A4E3,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
御伽原江良,#FFBE5C,#FFBE5C,#FFBE5C,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
