名前,淡いライバーカラー,濃いライバーカラー,超濃いライバーカラー,淡いサブカラー,濃いサブカラー,ライバー文字色,サブ文字色,VtL,卒業,読み,完全読み,メモ
白砂あやね,#54A2E5,#54A2E5,#54A2E5,#A2E4C7,#A2E4C7,#FFFFFF,#FFFFFF,「行こう！」,FALSE,白砂あやね しらさ あやね shirasa ayane しらす しらす丼 やーね,,
水面まどか,#FF8184,#FF8184,#FF8184,#FEBF96,#FEBF96,#FFFFFF,#FFFFFF,「行こう！」,FALSE,水面まどか みなも まどか minamo madoka まどちゃ,,
男虎,#442657,#442657,#442657,,,,#FFFFFF,「行こう！」,FALSE,,,
九里詠太,#CC8F7A,#CC8F7A,#CC8F7A,,,,#FFFFFF,「行こう！」,FALSE,,,
小々波いるか,#4270B2,#4270B2,#4270B2,#8FBAE8,#8FBAE8,#FFFFFF,#FFFFFF,「行こう！」,FALSE,小々波いるか いるか ここなみ kokonami iruka,,
千凛あゆむ,#543298,#543298,#543298,,,,#FFFFFF,「行こう！」,,,,
塚原大地,#4A4A5C,#4A4A5C,#4A4A5C,#A44545,#A44545,#FFFFFF,#FFFFFF,「行こう！」,FALSE,塚原大地 大地 つかはら だいち tsukahara daichi,揚げ鶏,
御子神琴音,#D0669A,#D0669A,#D0669A,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Rei7,#4BB3CE,#4BB3CE,#4BB3CE,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
レヨン,#558E8D,#558E8D,#558E8D,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,レヨン れよん rayon お野菜,,
Elira Pendora,#95C8D8,#95C8D8,#95C8D8,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,elira pendora エリーラ ペンドラ えりーら ぺんどら ewiwa,,
Pomu Rainpuff,#258E70,#258E70,#258E70,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,,
Finana Ryugu,#35D9AD,#35D9AD,#35D9AD,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Rosemi Lovelock,#DC3753,#DC3753,#DC3753,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,,
Petra Gurin,#FFAE42,#FFAE42,#FFAE42,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Enna Alouette,#858ED1,#858ED1,#858ED1,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Nina Kosaka,#660000,#660000,#660000,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,,
Reimu Endou,#B90B4A,#B90B4A,#B90B4A,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,,
Millie Parfait,#FEBC87,#FEBC87,#FEBC87,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Ike Eveland,#348EC7,#348EC7,#348EC7,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,,
Mysta Rias,#C3552B,#C3552B,#C3552B,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,,
Vox Akuma,#960018,#960018,#960018,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Luca Kaneshiro,#D4AF37,#D4AF37,#D4AF37,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Shu Yamino,#A660A7,#A660A7,#A660A7,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Alban Knox,#FF5F00,#FF5F00,#FF5F00,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Yugo Asuma,#1F51FF,#1F51FF,#1F51FF,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,,
Fulgur Ovid,#FF0000,#FF0000,#FF0000,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,,
Sonny Brisko,#FFF321,#FFF321,#FFF321,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Uki Violeta,#B600FF,#B600FF,#B600FF,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Kyo Kaneko,#00AFCC,#00AFCC,#00AFCC,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,,
Maria Marionette,#E55A9B,#E55A9B,#E55A9B,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Aster Arcadia,#6662A4,#6662A4,#6662A4,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,,
Aia Amare,#FFFEF7,#FFFEF7,#FFFEF7,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Ren Zotto,#429B76,#429B76,#429B76,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Scarle Yonaguni,#E60012,#E60012,#E60012,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Doppio Dropscythe,#A50082,#A50082,#A50082,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,,
Hex Haywire,#007199,#007199,#007199,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,,
