曲名,サムネ用リンク,MVリンク,フル尺リンク,MV公開,3Dリンク,3Dリンク2,公開日,ユニット,歌唱,歌唱2,歌唱3,男女,外部,箱内カバー,全体曲,ライバー自身が制作（作曲・イラスト等）,備考,備考2,備考3,備考4,踊ろう！,振付リンク,振付リンク2,オンラインライブ等で披露済,カラオケ（DAM）,カラオケ（JOYSOUND）,フィジカルCDリリース,デジタルリリース,サブスクリンク,独特なコーレス,3D配信リンク2,3D配信リンク3,メモ2,Shortsリンク,その他リンク,その他2,その他3,説明1,メモ3,BPM,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・キラキラ,ハッピー・ポジティブ,ポップな,可愛い,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,アンニュイ・ネガティブ,神秘的・幻想的,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用,
魔法について,https://youtu.be/RJ4pxNu2Di8?si=Y38ouoDTMlwk9x8_,,,FALSE,,,2025/06/13,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,TRUE,TRUE,TRUE,https://linkco.re/CS6MN2F7,FALSE,,,,,,,,,,72,,20,,,,,,,,,20,,,,,,,20,5,15,20,,6,0,20,16.66666667,100,
オブリビオン,https://youtu.be/0nyHpX1_Y88?si=1dDJs4w-LCCKvHzy,,,FALSE,,,2025/06/13,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,TRUE,TRUE,TRUE,https://linkco.re/CS6MN2F7,FALSE,,,,,,,,,,80,,20,,,,,,,,,25,,,,5,,,5,40,,5,,6,2,40,16.66666667,100,
されど星の輝きを知る,https://youtu.be/qnlGnVBSS6E?si=X9_jTIzonBvjU7NN,,,FALSE,,,2025/06/13,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,TRUE,TRUE,TRUE,https://linkco.re/CS6MN2F7,FALSE,https://youtu.be/tG6h83PreFk?si=a-AvzSjXkxX8_zLr&t=650,,MAGIC3D,,,,,,,122,,15,,,,,,,,10,10,,,,,,,,25,20,20,,6,1,25,16.66666667,100,
独白,https://youtu.be/V4BeK1gfEKk?si=XeouYvtQUHGFGxAB,,,FALSE,,,2025/06/13,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,TRUE,TRUE,TRUE,https://linkco.re/CS6MN2F7,FALSE,https://youtu.be/tG6h83PreFk?si=jUDRlIHGn2ndZ55E&t=197,,MAGIC3D,,,,,,,134,,,,,,,,,,,,5,35,25,25,,,,,,10,,5,3,35,20,100,
エンドロールで待ってる,https://youtu.be/56MSCi1vOHQ?si=4kayM4P_8Xfv2xcZ,,,FALSE,,,2025/06/13,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,TRUE,TRUE,TRUE,https://linkco.re/CS6MN2F7,FALSE,https://youtu.be/tG6h83PreFk?si=3F-4bPDCdPXsDwMp&t=1,,MAGIC3D,,,,,,,146,,,,,,,35,20,,30,,,,,,,,,,15,,,4,2,35,25,100,
雷命,https://youtu.be/HpDWe6BE0cw?si=s8Umo4FTk4GUbSNv,,,FALSE,,,2025/06/13,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,TRUE,TRUE,TRUE,https://linkco.re/CS6MN2F7,TRUE,https://www.youtube.com/live/daKnKRRoFTU?si=v6TYsQNgUH3RDHmC&t=3015,,,,,,,,,148,25,,40,30,,,,,,,,,5,,,,,,,,,,4,3,40,25,100,
声の旅,https://youtu.be/ES-AjY0a8UY?si=UbE2zJQZmXrkeu15,https://youtu.be/ES-AjY0a8UY?si=UbE2zJQZmXrkeu15,,TRUE,,,2025/06/13,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,https://linkco.re/CS6MN2F7,FALSE,https://youtu.be/tG6h83PreFk?si=_V1Ubzvet_x6nVzG&t=1007,,MAGIC3D,,,,,,,174,,,,20,,,,,,10,5,,,,,,,40,,15,10,,6,1,40,16.66666667,100,
247LOVE,https://youtu.be/31aG87oU98g?si=kDhvdYPzc_DckkpN,,,FALSE,,,2025/06/13,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,TRUE,TRUE,TRUE,https://linkco.re/CS6MN2F7,FALSE,,,,,,,,,,174,,,,,,,20,60,,20,,,,,,,,,,,,,3,1,60,33.33333333,100,
ブルーミソロジー,https://youtu.be/luOuECtt1Z0?si=K4Qzx4aXmmqwtDXc,,,FALSE,,,2025/06/13,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,TRUE,TRUE,TRUE,https://linkco.re/CS6MN2F7,FALSE,https://youtu.be/tG6h83PreFk?si=jUDRlIHGn2ndZ55E&t=197,,MAGIC3D,,,,,,,194,20,,,30,,,,,,25,,,20,,,,,,2.5,,2.5,,6,2,30,16.66666667,100,
トマトは愛を解さない,https://youtu.be/4k4qwBE0k1k?si=6lP2rCyfdmqKKx5I,,,FALSE,,,2025/06/13,,甲斐田晴,,,男性ソロ,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,https://linkco.re/CS6MN2F7,FALSE,,,,,,,,,,200,20,,,5,20,,,,,,,,,,25,,,,,,,30,5,2,30,20,100,
