曲名,サムネ用リンク,公開日,歌唱,ユニット,男女,備考,備考2,備考3,MV公開,MVリンク,3Dリンク,踊ろう！,振付リンク,振付リンク2,ライバー自身が制作（作曲・イラスト等）,ファンメイド,オンラインライブ等で披露済,カラオケ（DAM）,カラオケ（JOYSOUND）,フィジカルCDリリース,デジタルリリース,サブスクリンク,独特なコーレス,3Dリンク2,3Dリンク3,メモ2,Shortsリンク,その他リンク,その他2,その他3,説明1,メモ3,BPM,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・ハッピー,可愛い・ポップな,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用,
ウィーアーポップスター,https://youtu.be/5Yx8dWKiISE?si=DBEl2DBncVI-rDOk,2023/04/21,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,TRUE,https://youtu.be/5Yx8dWKiISE?si=DBEl2DBncVI-rDOk,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/overflowID,TRUE,https://www.youtube.com/live/qVylRMGabv8?si=wzBXNsxTBrZVGb8g&t=1925,,,,,,,,,194,,,22.5,,,25,25,,,,2.5,,,,,,,25,5,3,25,20,100,
No Reason.,https://youtu.be/TKG9lqZ6fHk?si=OWi2eJ-gJ1ORbPZd,2023/06/09,長尾景、弦月藤士郎、甲斐田晴,VΔLZ,男性,,,,TRUE,https://youtu.be/TKG9lqZ6fHk?si=OWi2eJ-gJ1ORbPZd,https://youtu.be/ZtyDsJG311Y?si=w7BnlyvNbLN9fWOz,FALSE,,,FALSE,FALSE,,,,FALSE,TRUE,https://nex-tone.link/A00118695,FALSE,https://www.youtube.com/live/Rz0O68Ejblw?si=c1IEAKYt8JS-sKI8&t=1877,,,,,,,重厚なバンドアンサンブルが印象的,,101,,,,20,37,,,,,3,25,15,,,,,,,5,2,37,20,100,
SHOOTING DELTA,https://youtu.be/nnP-GeBoj6E?si=IKiTuj_dgdJFMxNe,2023/06/09,長尾景、弦月藤士郎、甲斐田晴,VΔLZ,男性,作詞：弦月藤士郎、甲斐田晴,作曲：弦月藤士郎、甲斐田晴,,TRUE,https://youtu.be/nnP-GeBoj6E?si=IKiTuj_dgdJFMxNe,https://youtu.be/RpOnPXYoFQM?si=MJjiAU7hdYp_94O2,FALSE,,,TRUE,FALSE,,,,FALSE,TRUE,https://nex-tone.link/A00118696,FALSE,https://www.youtube.com/live/BqX-jwptb5k?si=d0xARylBNORtpdXI&t=5957,,,,,,,,,176,,,15,,,30,25,15,,,,,,,,,15,,5,2,30,20,100,
のうぎょうのうた,https://youtu.be/PJAgQgdjZzg?si=Vn3Y984IlAaAitCj&t=947,2023/06/22,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,作詞：甲斐田晴,作曲：甲斐田晴,,FALSE,,,FALSE,,,TRUE,FALSE,,,,TRUE,FALSE,,FALSE,,,,https://www.youtube.com/shorts/-VO0OxkxIdE,https://youtu.be/PJAgQgdjZzg?si=ozRZvRsHnktGA0Zt,https://rof-mao.lnk.to/overflowID,,,,85,,10,,,,,,10,,,,,,10,,10,10,20,6,0,20,11.66666667,70,
Challengers,https://youtu.be/kz5QjbP4uWU?si=e6w3NQIDgdZthTh4,2023/08/09,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,TRUE,https://youtu.be/kz5QjbP4uWU?si=e6w3NQIDgdZthTh4,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/overflowID,FALSE,,,,,,,,,,100,,,,35,,,,,12.5,,17.5,,,30,,,5,,5,2,35,20,100,
HANABI,https://youtu.be/uplOB-fzsDo?si=RqsolcbLKNBG2sDR,2023/09/13,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,TRUE,https://youtu.be/uplOB-fzsDo?si=RqsolcbLKNBG2sDR,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/overflowID,FALSE,,,,,https://youtu.be/fVLJariQIGo?si=ZsXEnDVHjjC8YF7w,,,,,146,,,30,,,35,5,30,,,,,,,,,,,4,3,35,25,100,
扉,https://youtu.be/ETkAyyyuqzs,2023/09/25,長尾景、弦月藤士郎、甲斐田晴,VΔLZ,男性,,,,TRUE,https://youtu.be/ETkAyyyuqzs,,FALSE,,,FALSE,FALSE,,,,FALSE,TRUE,https://nex-tone.link/A00122742,FALSE,https://www.youtube.com/live/22GbH8aIKvM?si=uVCMqZElVqYNjXn_&t=2795,,,,,,,未来への期待を歌った疾走感溢れる一曲。,,194,25,,10,,,30,,35,,,,,,,,,,,4,3,35,25,100,
もちもちハリネズミ,https://youtu.be/sVgX2Ih--Cs?si=FC2kxEdPe5RSkPvR&t=733,2023/10/05,剣持刀也,ROF-MAO,男性,作詞：加賀美ハヤト、不破湊、甲斐田晴,作曲：甲斐田晴,,FALSE,,,FALSE,,,TRUE,FALSE,FALSE,,,FALSE,FALSE,,TRUE,,,,https://youtu.be/8NdFQroODKs?si=LchjogzvNET-Zvyz,https://youtu.be/sVgX2Ih--Cs?si=hq8swlB5SmcmlvHu,,,,,184,,,,,,10,40,,,,,,,,,,,20,3,1,40,23.33333333,70,
フルカウント,https://youtu.be/shMxHvDNUxs?si=ewpkH-Xykkgms4Ud,2023/10/06,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,TRUE,https://youtu.be/shMxHvDNUxs?si=ewpkH-Xykkgms4Ud,https://youtu.be/jYvU7-tWQxI?si=4_Sj3TL72PPvFffC,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/overflowID,FALSE,https://www.youtube.com/live/qVylRMGabv8?si=t5NPauCOy7b-h_Ok&t=3130,,,,,,,,,145,7.5,,5,17.5,,,,22.5,,,10,,,22.5,,5,10,,8,0,22.5,12.5,100,
感情BONDING,https://youtu.be/VhGw4U5RgJU?si=yQVaDFN0QKR8K45x,2023/10/18,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,TRUE,,https://youtu.be/VhGw4U5RgJU?si=yQVaDFN0QKR8K45x,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/overflowID,FALSE,,,,,,,,,,130,,,17.5,,,,,,,45,10,27.5,,,,,,,4,2,45,25,100,
"Thank you, Promise!",https://youtu.be/5jPU1t5frxU?si=KtyA3zmjNki5wQOo,2023/10/18,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,FALSE,,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/overflowID,FALSE,,,,,,,,,,132,,2.5,,,,32.5,10,20,,,,,,,,30,5,,6,2,32.5,16.66666667,100,
Crazy Buddies!,https://youtu.be/0dRfCWoMVMU?si=IhOpXkKQexoDL8r6,2023/10/18,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,FALSE,,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/overflowID,FALSE,,,,,https://youtu.be/g0P0Tk6p27A?si=ZnpKN23kP7l_pODw,,,,,135,,,25,,,35,,,,,,,,,,15,,25,4,3,35,25,100,
Life is Onceで候,https://youtu.be/WYzabp1bz_A?si=_tpI5UkUfmjv7qb2,2023/10/18,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,FALSE,,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/overflowID,TRUE,,,,,https://youtu.be/hZFg5F6hphs?si=Fclh4BEsDEcPvpYS,,,,,200,22.5,,25,,,25,,,,,,,,,,,,27.5,4,3,27.5,25,100,
Do or Die,https://youtu.be/CGQv3n7vMb0?si=PFdCRft1msTPLC9V,2023/10/18,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,FALSE,,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/overflowID,FALSE,,,,,,,,,,242,,,5,,,,,,,45,20,30,,,,,,,4,2,45,25,100,
月が綺麗だ。,https://youtu.be/sdR1ZmDXS8w?si=C1uk-KbDWdrEkZME,2023/10/25,甲斐田晴,,男性,,,,TRUE,https://youtu.be/sdR1ZmDXS8w?si=C1uk-KbDWdrEkZME,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://nex-tone.link/A00135047,FALSE,https://www.youtube.com/live/Cj6qVVDU3as?si=tnq8OjwrLwlsYpzJ&t=11895,,歌謡祭24D3,,,,,,,170,,,,,,,,20,15,,15,,,,,30,20,,5,1,30,20,100,
