曲名,再生数,MV再生,サブスク再生,MVリンク,サムネ用リンク,プレイリスト用サムネ,公開日,歌唱,作詞,作曲,編曲,ユニット,MV公開,本人の作詞/作曲,有観客ライブ披露済み,オンラインライブ等で披露済,メモ1,3D映像公開,3Dリンク,3Dリンク2,3Dリンク3,メモ2,独特なコーレス,BPM,Shortsリンク,サブスクリンク,その他リンク,その他2,説明,メモ3,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・ハッピー,可愛い・ポップな,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用
Rainy Days,,,,,https://www.nijisanji.jp/news/qqur-196w,,2026/04/15,甲斐田晴,OSTER project,OSTER project,OSTER project,個人(ソロ),FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
雪の降る日に,,,,,https://www.nijisanji.jp/news/qqur-196w,,2026/04/15,甲斐田晴,PON（ラックライフ）,PON（ラックライフ）,河合英嗣,個人(ソロ),FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
晴れと褻,,,,,https://www.nijisanji.jp/news/qqur-196w,,2026/04/15,甲斐田晴,sabio/高村風太,sabio/高村風太,sabio/高村風太,個人(ソロ),FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】シャンティ,,,,,,,2026/03/20,甲斐田晴,wotaku,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,144,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,27,25,37,30,8,48,25,49,19,15,38,23,19,25,20,37,45,30,,,,,93
